# 流程: per-utt WavLM-large(SV) embedding -> StandardScaler -> PCA 正交坐标 -> KMeans(k=1) -> 离群=到所属簇中心距离 >= 全局 98% 分位
# n_samples=46888 n_outliers=938 pca_dim=64 kmeans_k=1
# pca_explained_variance_ratio_sum=0.795683 dist_threshold=23.979764
utt	wav_path	dist_to_cluster_center	cluster_id	pca_0	pca_1	pca_2
05395_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05395_020.wav	24.107815	0	-16.781174	5.105101	1.977720
05692_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05692_010.wav	24.313414	0	-16.033098	4.359457	-2.952024
05720_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05720_010.wav	25.530041	0	1.120034	5.203859	-6.309880
05733_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05733_010.wav	26.971025	0	-16.913921	8.170461	0.999919
05733_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05733_020.wav	25.261482	0	-14.326246	7.817765	-3.271924
05768_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05768_010.wav	25.045628	0	-16.591419	3.345501	-0.302021
05768_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05768_020.wav	24.631310	0	-16.536446	0.494532	0.475398
05774_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05774_010.wav	24.603329	0	-16.151047	0.532468	-1.984442
05774_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05774_020.wav	24.117611	0	2.160843	3.905212	-1.703884
05948_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/05948_010.wav	24.290352	0	-15.431574	6.719577	-3.632547
05999_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05999_020.wav	24.970125	0	-14.881113	7.273931	-2.772755
06000_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06000_010.wav	25.617037	0	-1.149801	6.648093	-6.512050
06092_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06092_010.wav	27.977053	0	-18.801891	4.098387	-0.947162
06120_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06120_010.wav	24.948944	0	-16.852304	4.766296	-0.542961
06120_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06120_020.wav	24.020451	0	-13.415626	7.053269	-2.815579
06183_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06183_020.wav	25.055765	0	-16.226780	2.105550	-2.634561
06360_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06360_010.wav	24.973436	0	-0.667096	4.165100	0.689074
06559_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06559_010.wav	24.843172	0	-17.784994	6.161597	2.577266
06630_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06630_010.wav	25.045193	0	-17.276184	8.921915	-0.846000
06853_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06853_020.wav	26.129982	0	-16.533756	5.912030	-1.729499
06875_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/06875_000.wav	26.738493	0	-13.752319	3.768480	-3.756009
06880_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/06880_010.wav	25.595301	0	-2.776049	3.395025	-12.877522
06896_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06896_020.wav	24.237200	0	-13.614993	3.425650	-5.765180
06905_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06905_020.wav	27.044779	0	-16.804634	7.971527	2.145773
06934_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/06934_020.wav	25.508242	0	0.142149	7.429958	-8.237652
06972_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/06972_000.wav	24.078373	0	-17.667263	5.088248	-2.707923
07074_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07074_000.wav	24.883110	0	-18.236652	4.510279	1.374739
07084_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07084_000.wav	24.174192	0	-16.559673	6.314879	-5.316050
07091_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07091_000.wav	25.746834	0	-1.365193	5.042073	9.327905
07091_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07091_010.wav	27.137575	0	-20.589428	0.276232	-0.725379
07148_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07148_000.wav	24.644888	0	-16.804190	9.384947	0.906825
07182_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07182_000.wav	24.376062	0	-13.803862	7.163486	-0.834813
07206_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07206_000.wav	27.614899	0	-19.664022	6.625404	-4.244158
07209_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07209_010.wav	27.777895	0	1.801170	9.013117	-8.661184
07214_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07214_020.wav	24.635811	0	-15.876230	7.567744	-3.382761
07269_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07269_020.wav	25.235653	0	-16.611935	1.436641	-0.070849
07328_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07328_000.wav	24.227495	0	-17.102324	7.154837	-3.124889
07328_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07328_020.wav	24.323744	0	-17.507149	5.728634	-2.078459
07398_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07398_010.wav	26.774580	0	-11.462816	4.578306	-2.623386
07403_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07403_010.wav	26.923576	0	-1.275397	5.873621	10.619940
07403_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07403_020.wav	25.538763	0	-0.081949	9.204440	1.130736
07507_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07507_010.wav	24.459805	0	-18.609665	5.990574	-2.860613
07565_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07565_010.wav	24.807365	0	-15.269498	4.793598	-3.449805
07660_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07660_020.wav	24.334375	0	-17.379169	0.030078	-0.661380
07661_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07661_000.wav	25.354553	0	-18.076729	7.148382	-1.550946
07662_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/07662_000.wav	27.364260	0	1.628187	7.531733	8.764973
07662_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07662_010.wav	27.770218	0	4.006028	4.696661	-3.283044
07668_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07668_020.wav	25.409172	0	-16.406633	5.360993	-2.048121
07759_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07759_010.wav	25.207552	0	-17.350040	1.890975	0.492105
07821_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07821_020.wav	24.334505	0	0.036648	4.129421	1.970495
07877_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07877_010.wav	24.324429	0	-17.943544	4.660707	-0.156509
07905_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07905_010.wav	24.943619	0	-18.927063	5.312909	0.361165
07909_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07909_010.wav	24.814838	0	7.052865	4.011552	2.912139
07930_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/07930_010.wav	25.260469	0	-17.891899	3.555448	-1.577471
07930_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/07930_020.wav	25.641333	0	-17.467447	3.955994	1.562049
08023_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/08023_020.wav	24.093922	0	-14.242537	5.397939	-5.093330
08043_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/08043_000.wav	27.375235	0	2.546191	4.893867	-7.014131
08045_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/08045_000.wav	24.404331	0	3.162287	6.214243	5.550868
08198_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/08198_010.wav	25.604641	0	-17.195004	4.515663	0.320837
08423_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/08423_010.wav	24.240431	0	-4.936897	10.818394	5.682400
08426_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/08426_010.wav	23.991205	0	-17.347662	4.398337	-1.452747
10122_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/10122_020.wav	25.004829	0	-14.409569	0.619839	1.649696
10187_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/10187_020.wav	30.128561	0	-20.995293	3.605076	-0.897843
10262_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/10262_010.wav	24.399443	0	-2.381208	2.456075	-3.584958
10518_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/10518_020.wav	25.710064	0	-16.997524	3.598780	-0.502609
10567_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/10567_010.wav	24.386509	0	-19.287128	6.212327	1.475894
10576_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/10576_010.wav	25.504198	0	-17.068874	7.372334	2.368632
10609_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/10609_020.wav	25.932125	0	-3.573783	4.547380	-0.494174
10644_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/10644_000.wav	24.089014	0	-15.268769	4.489783	-2.216024
10644_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/10644_020.wav	24.422695	0	-16.940090	0.478727	-0.769615
10706_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/10706_000.wav	25.240854	0	3.477803	8.618149	-2.379184
10782_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/10782_010.wav	24.079744	0	-17.561216	0.299575	0.952708
10920_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/10920_010.wav	28.685434	0	-19.072136	5.503364	-1.312547
10927_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/10927_000.wav	25.612307	0	-14.075099	6.314920	-4.422946
11126_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11126_000.wav	24.670362	0	-13.942646	5.327265	1.920346
11238_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11238_000.wav	24.121565	0	-14.696250	2.015901	-1.545250
11240_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11240_000.wav	26.507204	0	-16.438919	5.710752	-3.354694
11240_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11240_020.wav	28.637207	0	-16.404360	4.475074	-0.736088
11363_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11363_020.wav	26.696301	0	-16.836674	4.871749	-2.708917
11387_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11387_000.wav	25.616274	0	-18.445290	4.449196	-2.466793
11388_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11388_000.wav	24.641853	0	3.525094	12.079475	5.594584
11388_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11388_020.wav	24.839199	0	6.094980	9.162753	4.573510
11432_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11432_020.wav	25.215712	0	1.300712	9.629276	0.914065
11576_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11576_000.wav	24.822483	0	4.754226	6.830034	0.939295
11595_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11595_000.wav	25.529718	0	-15.145740	3.778723	-1.877124
11595_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/11595_010.wav	28.839289	0	-20.006786	2.700661	-0.352039
11614_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11614_020.wav	25.056438	0	-9.359770	6.448728	2.389013
11617_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11617_020.wav	24.051641	0	-17.971153	3.158863	1.158184
11687_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/11687_010.wav	29.006905	0	-16.657425	5.149875	-0.673172
11867_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11867_000.wav	24.730614	0	-17.416105	3.006555	-1.044780
11874_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/11874_000.wav	26.988478	0	-19.048473	8.507914	0.664652
11892_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/11892_020.wav	26.893999	0	-18.068672	2.118630	0.703561
11953_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/11953_010.wav	24.074211	0	1.053559	4.538579	-12.527556
12025_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/12025_000.wav	24.452858	0	-16.414185	7.111239	-1.591007
12106_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12106_010.wav	26.206602	0	-1.364460	9.714513	-10.154524
12106_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12106_020.wav	24.194113	0	-3.316764	6.047468	-5.066022
12190_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12190_020.wav	26.178421	0	0.823547	1.896349	-13.401601
12302_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/12302_000.wav	26.252722	0	-17.637768	-0.032205	2.447577
12302_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12302_010.wav	29.758821	0	-20.477791	-6.200875	0.624261
12361_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12361_020.wav	25.003592	0	-16.163029	3.211155	1.052439
12392_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12392_020.wav	24.083807	0	0.826048	3.987395	-8.152227
12393_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/12393_000.wav	26.789330	0	-1.981080	8.653423	-10.119127
12393_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12393_010.wav	24.676691	0	-14.046630	7.880499	-4.109283
12393_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12393_020.wav	25.533978	0	0.444606	8.408630	-12.586832
12397_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12397_010.wav	26.407440	0	-18.775650	3.758329	0.622369
12410_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12410_010.wav	24.309076	0	-17.020630	2.521001	-0.690261
12447_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12447_010.wav	26.442892	0	-18.240942	5.254580	-3.835629
12447_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/12447_020.wav	24.581131	0	-3.541795	1.460525	-9.979233
12702_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/12702_010.wav	25.321913	0	0.022588	8.026131	-2.755103
