utt	wav_path	cluster_id	dist_to_cluster_center	is_outlier	tsne_x	tsne_y
00482_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00482_000.wav	27	14.921092	0	17.954758	21.076101
00482_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00482_010.wav	27	16.400652	0	17.925650	21.229204
00482_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00482_020.wav	27	16.969477	0	7.046173	28.314028
00486_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00486_000.wav	1	15.505289	0	-21.481581	10.465097
00486_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00486_010.wav	11	19.897470	1	-21.025620	10.754272
00486_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00486_020.wav	10	17.171764	0	-21.493958	10.460324
00487_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00487_000.wav	6	15.257662	0	-15.349269	-37.996799
00487_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00487_010.wav	25	10.716902	0	15.238603	-3.965587
00487_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00487_020.wav	28	13.249652	0	15.893373	-3.579443
00489_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00489_000.wav	4	10.007066	0	9.642241	33.765789
00489_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00489_010.wav	4	9.847633	0	9.766508	35.871216
00489_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00489_020.wav	4	10.238624	0	10.303965	34.018459
00495_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00495_000.wav	11	20.329420	1	24.677435	-4.204402
00495_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00495_010.wav	18	19.352724	1	-20.019455	-40.566036
00495_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00495_020.wav	11	19.066572	1	-8.713797	16.936081
00496_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00496_000.wav	26	17.333040	0	-15.306639	8.158581
00496_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00496_010.wav	26	18.461245	0	-16.778685	-14.147660
00496_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00496_020.wav	26	15.420206	0	-14.490041	8.501105
00497_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00497_000.wav	2	15.576006	0	-10.194919	0.743448
00497_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00497_010.wav	2	18.749182	0	-12.845357	6.052881
00497_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00497_020.wav	8	18.545467	0	17.105522	-5.057067
00499_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00499_000.wav	0	9.315955	0	1.862883	11.630640
00499_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00499_010.wav	0	9.723940	0	7.811845	4.623489
00499_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00499_020.wav	0	9.514429	0	-0.391781	13.044503
00503_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00503_000.wav	8	14.583333	0	-1.150966	7.031220
00503_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00503_010.wav	8	11.329098	0	17.967730	2.234107
00503_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00503_020.wav	8	12.187757	0	-0.034753	6.359416
00506_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00506_000.wav	25	11.364362	0	-1.843110	22.746969
00506_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00506_010.wav	25	14.019038	0	6.043750	-0.253514
00506_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00506_020.wav	28	14.416180	0	-1.986161	23.019861
00507_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00507_000.wav	25	8.061010	0	7.243341	-11.321486
00507_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00507_010.wav	19	9.362433	0	6.463807	-11.715981
00507_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00507_020.wav	0	9.472979	0	7.521037	-11.400815
00510_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00510_000.wav	14	7.429065	0	2.823497	1.187045
00510_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00510_010.wav	14	7.396478	0	-3.131178	3.466421
00510_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00510_020.wav	14	7.071132	0	1.730526	-1.132179
00516_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00516_000.wav	11	10.147855	0	-6.435032	19.221680
00516_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00516_010.wav	1	10.488397	0	-3.937689	5.494218
00516_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00516_020.wav	11	8.831041	0	-8.458603	19.318062
00517_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00517_000.wav	0	10.960332	0	6.786781	6.272063
00517_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00517_010.wav	19	11.891621	0	-8.544241	-13.399731
00517_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00517_020.wav	3	11.883334	0	10.212568	-13.634708
00525_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00525_000.wav	9	14.742428	0	-20.870422	5.032326
00525_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00525_010.wav	9	14.360677	0	-20.734337	5.113768
00525_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00525_020.wav	25	12.179659	0	11.603812	-5.324047
00526_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00526_000.wav	14	9.778317	0	-4.253411	2.355000
00526_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00526_010.wav	20	10.780419	0	7.122717	-16.791086
00526_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00526_020.wav	14	10.871526	0	-5.802548	-13.290452
00530_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00530_000.wav	28	13.558865	0	-6.168658	1.423612
00530_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00530_010.wav	9	13.211460	0	10.290321	8.608912
00530_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00530_020.wav	0	15.678850	0	10.310662	8.726649
00532_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00532_000.wav	23	12.693514	0	-15.439432	-14.093240
00532_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00532_010.wav	25	11.557422	0	7.849535	-10.044974
00532_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00532_020.wav	23	9.942146	0	-7.004132	-0.958891
00533_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00533_000.wav	28	11.599111	0	-10.432714	-0.085695
00533_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00533_010.wav	25	11.968605	0	-10.429612	-0.295409
00533_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00533_020.wav	28	11.352186	0	-9.683587	-1.113783
00534_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00534_000.wav	7	9.090877	0	7.144359	39.788578
00534_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00534_010.wav	12	11.113955	0	9.668656	43.856327
00534_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00534_020.wav	4	12.220432	0	12.769197	33.476334
00535_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00535_000.wav	19	7.797981	0	1.701264	-18.110792
00535_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00535_010.wav	20	7.730571	0	1.637894	-18.523748
00535_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00535_020.wav	19	7.950892	0	1.868755	-18.002766
00536_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00536_000.wav	20	8.127023	0	-3.926979	-9.187690
00536_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00536_010.wav	19	6.159330	0	-4.867423	-9.167659
00536_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00536_020.wav	14	7.097393	0	-5.342579	-8.931601
00541_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00541_000.wav	4	11.075906	0	5.722600	35.378929
00541_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00541_010.wav	12	9.931785	0	6.176174	40.678036
00541_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00541_020.wav	12	10.494705	0	10.533368	40.690910
00555_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00555_000.wav	11	13.009824	0	-11.054898	22.658222
00555_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00555_010.wav	10	15.577143	0	-11.432124	23.177242
00555_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00555_020.wav	11	13.940537	0	-12.957662	19.618597
00556_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00556_000.wav	12	12.048653	0	11.598943	40.281109
00556_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00556_010.wav	12	12.629657	0	4.544619	41.378937
00556_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00556_020.wav	12	10.629940	0	9.597996	44.158081
00558_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00558_000.wav	5	12.023300	0	28.373419	-10.919400
00558_011	/home/work_nfs22/xmren/data/kefu/90w_tokens/00558_011.wav	5	11.976101	0	28.198860	-10.519260
00558_021	/home/work_nfs22/xmren/data/kefu/90w_tokens/00558_021.wav	5	14.591806	0	28.060831	-12.034973
00559_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00559_000.wav	3	17.931931	0	6.549865	-21.636631
00559_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00559_010.wav	20	13.927676	0	7.329073	-21.777050
00559_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00559_020.wav	19	11.957184	0	-2.468194	-19.678293
00560_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00560_000.wav	12	9.668482	0	10.756832	39.575153
00560_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00560_010.wav	4	12.660915	0	4.709340	34.106632
00560_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00560_020.wav	12	12.340767	0	4.313877	39.248943
00561_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00561_000.wav	14	9.075497	0	-2.884250	0.287313
00561_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00561_010.wav	25	11.356823	0	6.859502	1.850475
00561_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00561_020.wav	14	10.201487	0	6.537229	1.363798
00563_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00563_000.wav	8	17.599239	0	10.007525	-27.126289
00563_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00563_010.wav	11	16.732084	0	1.401237	-20.925827
00563_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00563_020.wav	8	19.255850	1	10.009698	-27.133411
00569_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00569_000.wav	14	10.196405	0	14.185698	3.362243
00569_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00569_010.wav	25	9.790337	0	7.450960	-4.262907
00569_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00569_020.wav	14	9.239935	0	14.265262	3.324969
00570_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00570_000.wav	14	14.863180	0	3.478507	-21.935398
00570_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00570_010.wav	20	12.253153	0	16.104906	-9.444762
00570_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00570_020.wav	1	10.393019	0	-9.208077	-21.969891
00571_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00571_000.wav	23	12.674991	0	-6.206558	-17.143225
00571_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00571_010.wav	19	13.344062	0	-5.748237	-17.396032
00571_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00571_020.wav	10	13.594615	0	17.227299	9.026359
00573_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00573_000.wav	3	10.425946	0	8.024709	0.112579
00573_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00573_010.wav	25	11.192369	0	8.065706	0.064099
00573_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00573_020.wav	25	11.284770	0	14.411558	-4.367498
00574_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00574_010.wav	19	8.197897	0	-14.290458	-8.854014
00574_022	/home/work_nfs22/xmren/data/kefu/90w_tokens/00574_022.wav	14	6.943193	0	-3.140960	5.272350
00575_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00575_000.wav	8	12.794008	0	-10.543543	10.905932
00575_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00575_010.wav	2	13.547784	0	-11.476957	10.625199
00575_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00575_020.wav	8	15.785583	0	-10.400494	11.027410
00584_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00584_000.wav	9	11.845499	0	12.425757	10.737109
00584_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00584_010.wav	10	13.503489	0	-14.106383	13.271072
00584_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00584_020.wav	9	11.250426	0	12.499418	10.770281
00586_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00586_000.wav	28	20.041254	1	18.682526	1.772755
00586_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00586_010.wav	15	16.272003	0	-19.673264	-35.582428
00586_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00586_020.wav	28	14.475669	0	17.933592	0.655525
00587_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00587_000.wav	3	10.421027	0	7.529717	-6.295550
00587_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00587_010.wav	3	10.194108	0	6.527763	-6.994202
00587_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00587_020.wav	3	7.477889	0	7.275047	-5.963100
00588_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00588_000.wav	19	7.741601	0	-9.178163	-9.565588
00588_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00588_010.wav	19	8.828370	0	-5.237442	-10.929782
00588_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00588_020.wav	6	9.740323	0	-15.916693	-35.049870
00594_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00594_000.wav	9	13.611465	0	8.489456	10.889185
00594_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00594_010.wav	22	15.326035	0	-16.490250	-29.291445
00594_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00594_020.wav	28	12.050909	0	9.123239	-8.470778
00601_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00601_000.wav	29	12.376959	0	2.632835	24.963701
00601_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00601_010.wav	29	11.674622	0	2.194664	27.019247
00601_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00601_020.wav	29	14.347673	0	9.244811	-17.267653
00604_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00604_000.wav	28	15.060969	0	-9.553555	3.510574
00604_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00604_010.wav	2	12.951790	0	-9.089010	3.872919
00604_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00604_020.wav	28	14.196001	0	13.386862	6.110266
00605_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00605_000.wav	15	17.862911	0	-20.889988	-34.184547
00605_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00605_010.wav	11	18.393480	0	3.876732	17.538523
00605_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00605_020.wav	15	15.865726	0	-20.751448	-34.427605
00606_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00606_000.wav	25	8.093217	0	11.828625	-4.893571
00606_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00606_010.wav	25	9.181663	0	-7.813126	-3.438367
00606_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00606_020.wav	25	9.136222	0	12.832541	-4.715602
00607_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00607_000.wav	20	12.699148	0	-24.493660	0.326511
00607_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00607_010.wav	20	12.330282	0	-24.516014	0.331494
00607_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00607_020.wav	14	11.547601	0	-23.587584	0.048060
