group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
cer2_017_000012	60	1	60	1.000000
cer2_017_000013	60	1	60	1.000000
cer2_017_000014	60	1	60	1.000000
cer2_017_000015	60	1	60	1.000000
cer2_017_000016	60	1	60	1.000000
cer2_018_000000	60	1	60	1.000000
cer2_018_000001	60	1	60	1.000000
cer2_018_000002	60	1	60	1.000000
cer2_018_000003	60	1	60	1.000000
cer2_018_000004	60	1	60	1.000000
cer2_018_000005	60	1	60	1.000000
cer2_018_000006	60	1	60	1.000000
cer2_018_000007	60	1	60	1.000000
cer2_018_000008	60	1	60	1.000000
cer2_018_000009	60	1	60	1.000000
cer2_018_000010	60	1	60	1.000000
cer2_018_000011	60	1	60	1.000000
cer2_018_000012	60	1	60	1.000000
cer2_018_000013	60	1	60	1.000000
cer2_018_000014	60	1	60	1.000000
cer2_018_000015	60	1	60	1.000000
cer2_018_000016	60	1	60	1.000000
cer2_019_000000	60	1	60	1.000000
cer2_019_000001	60	1	60	1.000000
cer2_019_000002	60	1	60	1.000000
cer2_019_000003	60	1	60	1.000000
cer2_019_000004	60	1	60	1.000000
cer2_019_000005	60	1	60	1.000000
cer2_019_000006	60	1	60	1.000000
cer2_019_000007	60	1	60	1.000000
cer2_019_000008	60	1	60	1.000000
cer2_019_000009	60	1	60	1.000000
cer2_019_000010	60	1	60	1.000000
cer2_019_000011	60	1	60	1.000000
cer2_019_000012	60	1	60	1.000000
cer2_019_000013	60	1	60	1.000000
cer2_019_000014	60	1	60	1.000000
cer2_020_000000	60	1	60	1.000000
cer2_020_000001	60	1	60	1.000000
cer2_020_000002	60	1	60	1.000000
cer2_020_000003	60	1	60	1.000000
cer2_020_000004	60	1	60	1.000000
cer2_020_000005	60	1	60	1.000000
cer2_020_000006	60	1	60	1.000000
cer2_020_000007	60	1	60	1.000000
cer2_020_000008	60	1	60	1.000000
cer2_020_000009	60	1	60	1.000000
cer2_021_000000	60	1	60	1.000000
cer2_021_000001	60	1	60	1.000000
cer2_021_000002	60	1	60	1.000000
cer2_021_000003	60	1	60	1.000000
cer2_021_000004	60	1	60	1.000000
cer2_021_000005	60	1	60	1.000000
cer2_021_000006	60	1	60	1.000000
cer2_021_000007	60	1	60	1.000000
cer2_022_000000	60	1	60	1.000000
cer2_022_000001	60	1	60	1.000000
cer2_022_000002	60	1	60	1.000000
cer2_022_000003	60	1	60	1.000000
cer2_022_000004	60	1	60	1.000000
cer2_022_000005	60	1	60	1.000000
cer2_022_000006	60	1	60	1.000000
cer2_022_000007	60	1	60	1.000000
cer2_022_000008	60	1	60	1.000000
cer2_022_000009	60	1	60	1.000000
cer2_023_000000	60	1	60	1.000000
cer2_023_000001	60	1	60	1.000000
cer2_023_000002	60	1	60	1.000000
cer2_023_000003	60	1	60	1.000000
cer2_023_000004	60	1	60	1.000000
cer2_023_000005	60	1	60	1.000000
cer2_023_000006	60	1	60	1.000000
cer2_023_000007	60	1	60	1.000000
cer2_023_000008	60	1	60	1.000000
cer2_023_000009	60	1	60	1.000000
cer2_024_000000	60	1	60	1.000000
cer2_024_000001	60	1	60	1.000000
cer2_024_000002	60	1	60	1.000000
cer2_024_000003	60	1	60	1.000000
cer2_025_000000	60	1	60	1.000000
cer2_025_000001	60	1	60	1.000000
cer2_025_000002	60	1	60	1.000000
cer2_025_000003	60	1	60	1.000000
cer2_025_000004	60	1	60	1.000000
cer2_025_000005	60	1	60	1.000000
cer_000000	30	1	30	1.000000
cer_000001	30	1	30	1.000000
cer_000002	30	1	30	1.000000
cer_000003	30	1	30	1.000000
cer_000004	30	1	30	1.000000
cer_000005	30	1	30	1.000000
cer_000006	30	1	30	1.000000
cer_000007	30	1	30	1.000000
cer_000008	30	1	30	1.000000
cer_000009	30	1	30	1.000000
cer_000010	30	1	30	1.000000
cer_000011	30	1	30	1.000000
cer_000012	30	1	30	1.000000
cer_000013	30	1	30	1.000000
cer_000014	30	1	30	1.000000
cer_000015	30	1	30	1.000000
cer_000016	30	1	30	1.000000
cer_000017	30	1	30	1.000000
cer_000018	30	1	30	1.000000
cer_000019	30	1	30	1.000000
cer_000020	30	1	30	1.000000
cer_000021	30	1	30	1.000000
cer_000022	30	1	30	1.000000
cer_000023	30	1	30	1.000000
cer_000024	30	1	30	1.000000
cer_000025	30	1	30	1.000000
cer_000026	30	1	30	1.000000
cer_000027	30	1	30	1.000000
cer_000028	30	1	30	1.000000
cer_000029	30	1	30	1.000000
cer_000030	30	1	30	1.000000
cer_000031	30	1	30	1.000000
cer_000032	30	1	30	1.000000
cer_000033	30	1	30	1.000000
cer_000034	30	1	30	1.000000
cer_000035	30	1	30	1.000000
cer_000036	30	1	30	1.000000
cer_000037	30	1	30	1.000000
cer_000038	30	1	30	1.000000
cer_000039	30	1	30	1.000000
cer_000040	30	1	30	1.000000
