group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
00999	30	1	30	1.000000
01000	30	1	30	1.000000
01001	30	1	30	1.000000
01005	30	1	30	1.000000
01008	30	1	30	1.000000
01009	30	1	30	1.000000
01010	30	1	30	1.000000
01013	30	1	30	1.000000
01022	30	1	30	1.000000
01024	30	1	30	1.000000
01027	30	1	30	1.000000
01029	23	1	23	1.000000
01031	30	1	30	1.000000
01033	30	1	30	1.000000
01035	30	1	30	1.000000
01036	30	1	30	1.000000
01038	30	1	30	1.000000
01040	30	1	30	1.000000
01041	30	1	30	1.000000
01043	30	1	30	1.000000
01051	30	1	30	1.000000
01061	30	1	30	1.000000
01065	30	1	30	1.000000
01070	30	1	30	1.000000
01074	30	1	30	1.000000
01075	30	1	30	1.000000
01078	30	1	30	1.000000
01079	30	1	30	1.000000
01080	30	1	30	1.000000
01081	30	1	30	1.000000
01083	15	1	15	1.000000
01086	30	1	30	1.000000
01090	30	1	30	1.000000
01096	30	1	30	1.000000
01097	30	1	30	1.000000
01102	30	1	30	1.000000
01103	30	1	30	1.000000
01106	30	1	30	1.000000
01108	30	1	30	1.000000
01115	30	1	30	1.000000
01116	30	1	30	1.000000
01118	30	1	30	1.000000
01119	30	1	30	1.000000
01123	30	1	30	1.000000
01124	30	1	30	1.000000
01126	30	1	30	1.000000
01133	21	1	21	1.000000
01139	30	1	30	1.000000
01145	30	1	30	1.000000
01146	30	1	30	1.000000
01150	30	1	30	1.000000
01160	30	1	30	1.000000
01163	30	1	30	1.000000
01166	30	1	30	1.000000
01168	30	1	30	1.000000
01174	30	1	30	1.000000
01181	30	1	30	1.000000
01182	30	1	30	1.000000
01185	30	1	30	1.000000
01189	30	1	30	1.000000
01193	30	1	30	1.000000
01194	30	1	30	1.000000
01201	30	1	30	1.000000
01205	30	1	30	1.000000
01206	30	1	30	1.000000
01207	30	1	30	1.000000
01208	30	1	30	1.000000
01211	30	1	30	1.000000
01213	30	1	30	1.000000
01214	30	1	30	1.000000
01217	30	1	30	1.000000
01219	30	1	30	1.000000
01220	30	1	30	1.000000
01223	30	1	30	1.000000
01224	30	1	30	1.000000
01226	30	1	30	1.000000
01229	30	1	30	1.000000
01231	30	1	30	1.000000
01233	30	1	30	1.000000
01236	30	1	30	1.000000
01238	30	1	30	1.000000
01240	30	1	30	1.000000
01245	30	1	30	1.000000
01249	30	1	30	1.000000
01261	30	1	30	1.000000
01263	30	1	30	1.000000
01268	5	1	5	1.000000
01271	30	1	30	1.000000
01281	30	1	30	1.000000
01282	30	1	30	1.000000
01283	30	1	30	1.000000
01288	30	1	30	1.000000
01289	30	1	30	1.000000
01290	30	1	30	1.000000
01291	30	1	30	1.000000
01309	30	1	30	1.000000
01314	30	1	30	1.000000
01315	30	1	30	1.000000
01318	30	1	30	1.000000
01334	30	1	30	1.000000
01343	30	1	30	1.000000
01346	30	1	30	1.000000
01349	30	1	30	1.000000
01351	30	1	30	1.000000
01356	30	1	30	1.000000
01361	30	1	30	1.000000
01362	30	1	30	1.000000
01371	30	1	30	1.000000
01374	30	1	30	1.000000
01375	30	1	30	1.000000
01379	30	1	30	1.000000
01388	30	1	30	1.000000
01391	30	1	30	1.000000
01403	30	1	30	1.000000
