group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
01050	30	1	30	1.000000
01051	30	1	30	1.000000
01054	30	1	30	1.000000
01056	30	1	30	1.000000
01058	30	1	30	1.000000
01059	30	1	30	1.000000
01060	30	1	30	1.000000
01061	30	1	30	1.000000
01065	30	1	30	1.000000
01066	30	1	30	1.000000
01070	30	1	30	1.000000
01072	30	1	30	1.000000
01074	30	1	30	1.000000
01075	30	1	30	1.000000
01076	30	1	30	1.000000
01078	30	1	30	1.000000
01079	30	1	30	1.000000
01080	30	1	30	1.000000
01081	30	1	30	1.000000
01083	30	1	30	1.000000
01084	30	1	30	1.000000
01086	30	1	30	1.000000
01088	30	1	30	1.000000
01090	30	1	30	1.000000
01091	30	1	30	1.000000
01095	30	1	30	1.000000
01096	30	1	30	1.000000
01097	30	1	30	1.000000
01099	30	1	30	1.000000
01100	30	1	30	1.000000
01102	30	1	30	1.000000
01103	30	1	30	1.000000
01106	30	1	30	1.000000
01108	30	1	30	1.000000
01112	30	1	30	1.000000
01113	30	1	30	1.000000
01115	30	1	30	1.000000
01116	30	1	30	1.000000
01118	30	1	30	1.000000
01119	30	1	30	1.000000
01120	30	1	30	1.000000
01122	30	1	30	1.000000
01123	30	1	30	1.000000
01124	30	1	30	1.000000
01125	30	1	30	1.000000
01126	30	1	30	1.000000
01128	30	1	30	1.000000
01130	30	1	30	1.000000
01132	30	1	30	1.000000
01133	30	1	30	1.000000
01137	30	1	30	1.000000
01139	30	1	30	1.000000
01142	30	1	30	1.000000
01143	30	1	30	1.000000
01144	30	1	30	1.000000
01145	30	1	30	1.000000
01146	30	1	30	1.000000
01147	30	1	30	1.000000
01149	30	1	30	1.000000
01150	30	1	30	1.000000
01151	30	1	30	1.000000
01152	30	1	30	1.000000
01153	30	1	30	1.000000
01155	30	1	30	1.000000
01156	30	1	30	1.000000
01158	30	1	30	1.000000
01160	30	1	30	1.000000
01163	30	1	30	1.000000
01164	30	1	30	1.000000
01166	30	1	30	1.000000
01168	30	1	30	1.000000
01169	30	1	30	1.000000
01170	30	1	30	1.000000
01174	30	1	30	1.000000
01180	30	1	30	1.000000
01181	30	1	30	1.000000
01182	30	1	30	1.000000
01183	30	1	30	1.000000
01185	30	1	30	1.000000
01186	30	1	30	1.000000
01188	30	1	30	1.000000
01189	30	1	30	1.000000
01193	30	1	30	1.000000
01194	30	1	30	1.000000
01197	30	1	30	1.000000
01199	30	1	30	1.000000
01201	30	1	30	1.000000
01203	30	1	30	1.000000
01205	30	1	30	1.000000
01206	30	1	30	1.000000
01207	30	1	30	1.000000
01208	30	1	30	1.000000
01209	30	1	30	1.000000
01211	30	1	30	1.000000
01213	30	1	30	1.000000
01214	30	1	30	1.000000
01216	30	1	30	1.000000
01217	30	1	30	1.000000
01219	30	1	30	1.000000
01220	30	1	30	1.000000
01223	30	1	30	1.000000
01224	30	1	30	1.000000
01226	30	1	30	1.000000
01227	30	1	30	1.000000
01229	30	1	30	1.000000
01231	30	1	30	1.000000
01233	30	1	30	1.000000
01234	30	1	30	1.000000
01236	30	1	30	1.000000
01237	30	1	30	1.000000
01238	30	1	30	1.000000
01240	30	1	30	1.000000
01243	30	1	30	1.000000
01244	30	1	30	1.000000
01245	30	1	30	1.000000
01249	30	1	30	1.000000
01251	30	1	30	1.000000
01252	30	1	30	1.000000
01253	30	1	30	1.000000
01255	30	1	30	1.000000
01256	30	1	30	1.000000
01258	30	1	30	1.000000
01261	30	1	30	1.000000
01262	30	1	30	1.000000
01263	30	1	30	1.000000
01268	30	1	30	1.000000
01270	30	1	30	1.000000
01271	30	1	30	1.000000
01276	30	1	30	1.000000
01278	30	1	30	1.000000
01280	30	1	30	1.000000
01281	30	1	30	1.000000
01282	30	1	30	1.000000
01283	30	1	30	1.000000
01285	30	1	30	1.000000
01288	30	1	30	1.000000
01289	30	1	30	1.000000
01290	30	1	30	1.000000
01291	30	1	30	1.000000
01292	30	1	30	1.000000
01297	30	1	30	1.000000
01298	30	1	30	1.000000
01299	30	1	30	1.000000
01306	30	1	30	1.000000
01308	30	1	30	1.000000
01309	30	1	30	1.000000
01310	30	1	30	1.000000
01313	30	1	30	1.000000
01314	30	1	30	1.000000
01315	30	1	30	1.000000
01316	30	1	30	1.000000
01318	30	1	30	1.000000
01320	30	1	30	1.000000
01321	30	1	30	1.000000
01324	30	1	30	1.000000
01334	30	1	30	1.000000
01336	30	1	30	1.000000
01337	30	1	30	1.000000
01343	30	1	30	1.000000
01346	30	1	30	1.000000
01349	30	1	30	1.000000
01351	30	1	30	1.000000
01352	30	1	30	1.000000
01353	30	1	30	1.000000
01356	30	1	30	1.000000
01361	30	1	30	1.000000
01362	30	1	30	1.000000
01364	30	1	30	1.000000
01365	30	1	30	1.000000
01369	30	1	30	1.000000
01370	30	1	30	1.000000
01371	30	1	30	1.000000
01374	30	1	30	1.000000
01375	30	1	30	1.000000
01376	30	1	30	1.000000
01378	30	1	30	1.000000
01379	30	1	30	1.000000
01386	30	1	30	1.000000
01387	30	1	30	1.000000
01388	30	1	30	1.000000
01389	30	1	30	1.000000
01391	30	1	30	1.000000
01395	30	1	30	1.000000
01396	30	1	30	1.000000
01399	30	1	30	1.000000
01401	30	1	30	1.000000
01403	30	1	30	1.000000
01404	30	1	30	1.000000
01407	30	1	30	1.000000
01408	30	1	30	1.000000
01413	30	1	30	1.000000
01416	30	1	30	1.000000
01418	30	1	30	1.000000
01419	30	1	30	1.000000
01420	30	1	30	1.000000
01421	30	1	30	1.000000
01422	30	1	30	1.000000
01423	30	1	30	1.000000
01425	30	1	30	1.000000
01428	30	1	30	1.000000
01430	30	1	30	1.000000
01431	30	1	30	1.000000
01433	30	1	30	1.000000
01437	30	1	30	1.000000
01438	30	1	30	1.000000
01439	30	1	30	1.000000
01441	30	1	30	1.000000
01442	30	1	30	1.000000
01443	30	1	30	1.000000
01448	30	1	30	1.000000
01449	30	1	30	1.000000
01451	30	1	30	1.000000
01452	30	1	30	1.000000
01455	30	1	30	1.000000
01456	30	1	30	1.000000
01457	30	1	30	1.000000
01459	30	1	30	1.000000
01460	30	1	30	1.000000
01461	30	1	30	1.000000
01462	30	1	30	1.000000
